title,price,house_area,land_area,date_posted,address,highway,km,type,house_area_group,land_area_group,price_per_m2,price_per_m2_group
Дом 48 м² на участке 6 сот.,1700000.0,48.0,6.0,7 дней назад,Зарайск,Каширское шоссе,119,Дом,0-60 м²,6-9 соток,35416.666666666664,30k-40k
"Коттедж 154,8 м² на участке 7 сот.",15000000.0,154.8,7.0,7 дней назад,КП Акиньшино-5,Киевское шоссе,18,Коттедж,150-180 м²,6-9 соток,96899.22480620154,90k-100k
"Дом 121 м² на участке 7,5 сот.",4640000.0,121.0,,6 июня 23:49,д. Шарапово,Ярославское шоссе,,Дом,120-150 м²,,38347.10743801653,30k-40k
Дом 150 м² на участке 5 сот.,6145000.0,150.0,5.0,30 июля 13:06,д. Харитоново,Симферопольское шоссе,24,Дом,150-180 м²,3-6 соток,40966.666666666664,40k-50k
Дом 146 м² на участке 8 сот.,4000000.0,146.0,8.0,3 марта 08:33,СНТ Столбищево,Симферопольское шоссе,34,Дом,120-150 м²,6-9 соток,27397.260273972603,20k-30k
"Дом 166 м² на участке 7,3 сот.",8200000.0,166.0,,23 мая 13:32,д. Голыгино,Симферопольское шоссе,59,Дом,150-180 м²,,49397.590361445786,40k-50k
"Дом 120 м² на участке 7,5 сот.",8000000.0,120.0,,1 неделю назад,с. Кудиново,Носовихинское шоссе,23,Дом,120-150 м²,,66666.66666666667,60k-70k
"Дом 135 м² на участке 5,1 сот.",8200000.0,135.0,,7 марта 18:38,д. Ходаево,Симферопольское шоссе,44,Дом,120-150 м²,,60740.74074074074,60k-70k
Дом 95 м² на участке 5 сот.,4145000.0,95.0,5.0,8 ноября 2024,д. Малые Петрищи,Фряновское шоссе,42,Дом,90-120 м²,3-6 соток,43631.57894736842,40k-50k
Дом 95 м² на участке 5 сот.,3545000.0,95.0,5.0,12 июля 17:19,с. Никитское,Новорязанское шоссе,56,Дом,90-120 м²,3-6 соток,37315.78947368421,30k-40k
"Коттедж 120 м² на участке 5,7 сот.",14900000.0,120.0,,7 дней назад,Загорянский,Щёлковское шоссе,11,Коттедж,120-150 м²,,124166.66666666667,100k-150k
"Дом 209 м² на участке 18,3 сот.",7600000.0,209.0,,3 дня назад,д. Кармашовка,Варшавское шоссе,65,Дом,180-210 м²,,36363.63636363636,30k-40k
"Дом 95 м² на участке 5,7 сот.",3745000.0,95.0,,3 дня назад,с. Григорово,Новорязанское шоссе,42,Дом,90-120 м²,,39421.05263157895,30k-40k
"Дача 193,8 м² на участке 12 сот.",8600000.0,193.8,12.0,10 октября 2023,садовое товарищество Ветеран ЦАО,Носовихинское шоссе,32,Дача,180-210 м²,12-15 соток,44375.64499484004,40k-50k
"Дом 150,3 м² на участке 6,7 сот.",18500000.0,150.3,,3 дня назад,садовое товарищество Полянка-89,Пятницкое шоссе,32,Дом,150-180 м²,,123087.15901530272,100k-150k
"Дом 66,1 м² на участке 3,7 сот.",3999000.0,66.1,,10 февраля 13:44,Балашиха,Носовихинское шоссе,7,Дом,60-90 м²,,60499.243570347964,60k-70k
"Дача 52 м² на участке 2,1 сот.",3650000.0,52.0,,6 июня 17:12,"пос. Государственного племенного завода Константиново,территория ОНТ Константиновец-1",Новокаширское шоссе,17,Дача,0-60 м²,,70192.30769230769,70k-80k
"Дача 60 м² на участке 6,1 сот.",1550000.0,60.0,,23 мая 15:33,садовое товарищество Союз,Ярославское шоссе,60,Дача,60-90 м²,,25833.333333333332,20k-30k
Дача 90 м² на участке 6 сот.,3550000.0,90.0,6.0,23 мая 17:27,СНТ Торфяник,Носовихинское шоссе,29,Дача,90-120 м²,6-9 соток,39444.444444444445,30k-40k
Дача 24 м² на участке 9 сот.,2200000.0,24.0,9.0,1 августа 2024,садовое товарищество Торгоша,Ярославское шоссе,58,Дача,0-60 м²,9-12 соток,91666.66666666667,90k-100k
Дом 1015 м² на участке 20 сот.,80000000.0,1015.0,20.0,26 мая 12:13,д. Борзые,Волоколамское шоссе,21,Дом,300+ м²,17+ соток,78817.73399014778,70k-80k
"Дом 100 м² на участке 8,5 сот.",8800000.0,100.0,,3 дня назад,д. Гаврилково,Ярославское шоссе,48,Дом,90-120 м²,,88000.0,80k-90k
Дом 307 м² на участке 16 сот.,26500000.0,307.0,16.0,19 ноября 2024,д. Осоргино,Можайское шоссе,13,Дом,300+ м²,15-17 соток,86319.21824104234,80k-90k
Дом 92 м² на участке 5 сот.,9300000.0,92.0,5.0,26 января 08:58,д. Бехтеево,Новокаширское шоссе,32,Дом,90-120 м²,3-6 соток,101086.95652173914,100k-150k
"Дом 163 м² на участке 9,5 сот.",9950000.0,163.0,,26 февраля 07:26,СНТ Утро,Калужское шоссе,29,Дом,150-180 м²,,61042.94478527607,60k-70k
Дача 115 м² на участке 20 сот.,6150000.0,115.0,20.0,8 мая 2024,садовое товарищество Медик,Горьковское шоссе,58,Дача,90-120 м²,17+ соток,53478.260869565216,50k-60k
Дом 150 м² на участке 6 сот.,13900000.0,150.0,6.0,2 недели назад,"Домодедово, КП Светлая роща",Новокаширское шоссе,23,Дом,150-180 м²,6-9 соток,92666.66666666667,90k-100k
Дом 460 м² на участке 22 сот.,110000000.0,460.0,22.0,26 июня 2021,"д. Калчуга, коттеджный пос. ПЖКИЗ Калчуга",Рублёво-Успенское шоссе,11,Дом,300+ м²,17+ соток,239130.4347826087,200k-250k
Дом 350 м² на участке 25 сот.,55000000.0,350.0,25.0,12 июня 2024,коттеджный пос. Лапландия,Дмитровское шоссе,34,Дом,300+ м²,17+ соток,157142.85714285713,150k-200k
"Дом 276 м² на участке 7,3 сот.",110000000.0,276.0,,7 дней назад,коттеджный пос. Миллениум Парк,Минское шоссе,21,Дом,240-300 м²,,398550.72463768115,300k+
"Дом 120 м² на участке 9,1 сот.",13300000.0,120.0,,21 марта 21:09,коттеджный пос. Новая Европа,Рязанское шоссе,26,Дом,120-150 м²,,110833.33333333333,100k-150k
Дом 95 м² на участке 14 сот.,10500000.0,95.0,14.0,7 июня 2023,Домодедово,Новокаширское шоссе,21,Дом,90-120 м²,12-15 соток,110526.31578947368,100k-150k
"Дом 81 м² на участке 7,5 сот.",5465000.0,81.0,,6 ноября 2024,дачное некоммерческое партнёрство Можайское Раздолье,Минское шоссе,79,Дом,60-90 м²,,67469.13580246913,60k-70k
Дом 155 м² на участке 4 сот.,13245000.0,155.0,4.0,4 декабря 2024,д. Ботаково,Калужское шоссе,18,Дом,150-180 м²,3-6 соток,85451.6129032258,80k-90k
"Дом 160,3 м² на участке 8 сот.",8900000.0,160.3,8.0,19 мая 19:18,"д. Пятница, коттеджный пос. Истра Вилладж Пятница",Пятницкое шоссе,45,Дом,150-180 м²,6-9 соток,55520.89831565814,50k-60k
Дом 964 м² на участке 21 сот.,90000000.0,964.0,21.0,7 июля 14:23,д. Благовещенка,Пятницкое шоссе,12,Дом,300+ м²,17+ соток,93360.9958506224,90k-100k
"Дом 75,2 м² на участке 11 сот.",6200000.0,75.2,11.0,6 августа 22:27,д. Леньково,Минское шоссе,77,Дом,60-90 м²,9-12 соток,82446.8085106383,80k-90k
Дом 105 м² на участке 6 сот.,12900000.0,105.0,6.0,Вчера,с. Новое,Рязанское шоссе,25,Дом,90-120 м²,6-9 соток,122857.14285714286,100k-150k
Дом 85 м² на участке 4 сот.,4345000.0,85.0,4.0,4 июля 2023,д. Елагино,Киевское шоссе,57,Дом,60-90 м²,3-6 соток,51117.64705882353,50k-60k
"Дом 130 м² на участке 6,3 сот.",11000000.0,130.0,,24 мая 19:51,КП Губернский лес,Симферопольское шоссе,46,Дом,120-150 м²,,84615.38461538461,80k-90k
Дом 146 м² на участке 8 сот.,4000000.0,146.0,8.0,3 марта 08:33,СНТ Столбищево,Симферопольское шоссе,34,Дом,120-150 м²,6-9 соток,27397.260273972603,20k-30k
"Дом 166 м² на участке 7,3 сот.",8200000.0,166.0,,23 мая 13:32,д. Голыгино,Симферопольское шоссе,59,Дом,150-180 м²,,49397.590361445786,40k-50k
"Дом 120 м² на участке 7,5 сот.",8000000.0,120.0,,1 неделю назад,с. Кудиново,Носовихинское шоссе,23,Дом,120-150 м²,,66666.66666666667,60k-70k
Дом 95 м² на участке 5 сот.,3545000.0,95.0,5.0,12 июля 17:19,с. Никитское,Новорязанское шоссе,56,Дом,90-120 м²,3-6 соток,37315.78947368421,30k-40k
"Дом 135 м² на участке 5,1 сот.",8200000.0,135.0,,7 марта 18:38,д. Ходаево,Симферопольское шоссе,44,Дом,120-150 м²,,60740.74074074074,60k-70k
Дом 95 м² на участке 5 сот.,4145000.0,95.0,5.0,8 ноября 2024,д. Малые Петрищи,Фряновское шоссе,42,Дом,90-120 м²,3-6 соток,43631.57894736842,40k-50k
Дом 150 м² на участке 10 сот.,7400000.0,150.0,10.0,6 декабря 2024,коттеджный пос. Никольское,Киевское шоссе,66,Дом,150-180 м²,9-12 соток,49333.333333333336,40k-50k
Дом 89 м² на участке 4 сот.,5345000.0,89.0,4.0,2 недели назад,пос. Рогово,Варшавское шоссе,51,Дом,60-90 м²,3-6 соток,60056.1797752809,60k-70k
"Дом 150,3 м² на участке 6,7 сот.",18500000.0,150.3,,3 дня назад,садовое товарищество Полянка-89,Пятницкое шоссе,32,Дом,150-180 м²,,123087.15901530272,100k-150k
"Дом 66,1 м² на участке 3,7 сот.",3999000.0,66.1,,10 февраля 13:44,Балашиха,Носовихинское шоссе,7,Дом,60-90 м²,,60499.243570347964,60k-70k
"Дом 135 м² на участке 6,4 сот.",12500000.0,135.0,,13 июля 16:51,"Домодедово, КП Кузьминский",Новокаширское шоссе,38,Дом,120-150 м²,,92592.5925925926,90k-100k
Дом 165 м² на участке 6 сот.,13999999.0,165.0,6.0,2 июля 19:06,д. Рыжово,Калужское шоссе,35,Дом,150-180 м²,6-9 соток,84848.47878787879,80k-90k
Дом 970 м² на участке 42 сот.,300000000.0,970.0,42.0,10 марта 16:33,д. Новинки,Волоколамское шоссе,15,Дом,300+ м²,17+ соток,309278.3505154639,300k+
"Дача 60 м² на участке 6,1 сот.",1550000.0,60.0,,23 мая 15:33,садовое товарищество Союз,Ярославское шоссе,60,Дача,60-90 м²,,25833.333333333332,20k-30k
Дача 90 м² на участке 6 сот.,3550000.0,90.0,6.0,23 мая 17:27,СНТ Торфяник,Носовихинское шоссе,29,Дача,90-120 м²,6-9 соток,39444.444444444445,30k-40k
"Дом 117 м² на участке 6,5 сот.",8000000.0,117.0,,6 июня 17:12,"д. Шишкино, КП Дачная практика-2",Новокаширское шоссе,36,Дом,90-120 м²,,68376.06837606838,60k-70k
Дача 24 м² на участке 9 сот.,2200000.0,24.0,9.0,1 августа 2024,садовое товарищество Торгоша,Ярославское шоссе,58,Дача,0-60 м²,9-12 соток,91666.66666666667,90k-100k
Дом 1015 м² на участке 20 сот.,80000000.0,1015.0,20.0,26 мая 12:13,д. Борзые,Волоколамское шоссе,21,Дом,300+ м²,17+ соток,78817.73399014778,70k-80k
"Дом 289,2 м² на участке 15 сот.",9900000.0,289.2,15.0,19 апреля 13:18,Краснозаводск,Ярославское шоссе,68,Дом,240-300 м²,15-17 соток,34232.365145228214,30k-40k
Дача 115 м² на участке 20 сот.,6150000.0,115.0,20.0,8 мая 2024,садовое товарищество Медик,Горьковское шоссе,58,Дача,90-120 м²,17+ соток,53478.260869565216,50k-60k
Дом 350 м² на участке 25 сот.,55000000.0,350.0,25.0,12 июня 2024,коттеджный пос. Лапландия,Дмитровское шоссе,34,Дом,300+ м²,17+ соток,157142.85714285713,150k-200k
Коттедж 110 м² на участке 10 сот.,5700000.0,110.0,10.0,8 февраля 23:31,"д. Шишкино (Растуновский административный округ), коттеджный пос. Шишкино",Новокаширское шоссе,34,Коттедж,90-120 м²,9-12 соток,51818.181818181816,50k-60k
Дача 56 м² на участке 12 сот.,2290000.0,56.0,12.0,3 июля 19:10,территория СНТ Монтажник-2,Рогачёвское шоссе,49,Дача,0-60 м²,12-15 соток,40892.857142857145,40k-50k
"Дом 120 м² на участке 9,1 сот.",13300000.0,120.0,,21 марта 21:09,коттеджный пос. Новая Европа,Рязанское шоссе,26,Дом,120-150 м²,,110833.33333333333,100k-150k
"Дом 108 м² на участке 6,5 сот.",5500000.0,108.0,,30 июня 17:05,"Домодедово, КП Фишер",Новокаширское шоссе,38,Дом,90-120 м²,,50925.92592592593,50k-60k
Дом 320 м² на участке 16 сот.,79000000.0,320.0,16.0,1 неделю назад,коттеджный пос. Европа-2,Ильинское шоссе,17,Дом,300+ м²,15-17 соток,246875.0,200k-250k
Дом 95 м² на участке 14 сот.,10500000.0,95.0,14.0,7 июня 2023,Домодедово,Новокаширское шоссе,21,Дом,90-120 м²,12-15 соток,110526.31578947368,100k-150k
"Дом 81 м² на участке 7,5 сот.",5465000.0,81.0,,6 ноября 2024,дачное некоммерческое партнёрство Можайское Раздолье,Минское шоссе,79,Дом,60-90 м²,,67469.13580246913,60k-70k
Дом 155 м² на участке 4 сот.,13245000.0,155.0,4.0,4 декабря 2024,д. Ботаково,Калужское шоссе,18,Дом,150-180 м²,3-6 соток,85451.6129032258,80k-90k
Дом 1800 м² на участке 99 сот.,750000000.0,1800.0,99.0,10 марта 14:21,"с. Николо-Урюпино, коттеджный пос. Новахово",Волоколамское шоссе,11,Дом,300+ м²,17+ соток,416666.6666666667,300k+
"Дом 75,2 м² на участке 11 сот.",6200000.0,75.2,11.0,6 августа 22:27,д. Леньково,Минское шоссе,77,Дом,60-90 м²,9-12 соток,82446.8085106383,80k-90k
Дом 105 м² на участке 6 сот.,12900000.0,105.0,6.0,Вчера,с. Новое,Рязанское шоссе,25,Дом,90-120 м²,6-9 соток,122857.14285714286,100k-150k
Дом 85 м² на участке 4 сот.,4345000.0,85.0,4.0,4 июля 2023,д. Елагино,Киевское шоссе,57,Дом,60-90 м²,3-6 соток,51117.64705882353,50k-60k
Дача 31 м² на участке 6 сот.,980000.0,31.0,6.0,2 июня 18:14,садовое товарищество Красная Звезда,Дмитровское шоссе,81,Дача,0-60 м²,6-9 соток,31612.90322580645,30k-40k
Дом 154 м² на участке 7 сот.,10999000.0,154.0,7.0,1 неделю назад,д. Еремеево,Пятницкое шоссе,27,Дом,150-180 м²,6-9 соток,71422.07792207792,70k-80k
Дом 1000 м² на участке 24 сот.,299000000.0,1000.0,24.0,8 августа 2024,"д. Благовещенка, СНТ ТСЖ ВСК Благовещенка",Пятницкое шоссе,14,Дом,300+ м²,17+ соток,299000.0,250k-300k
Дом 1284 м² на участке 26 сот.,520000000.0,1284.0,26.0,9 апреля 09:10,коттеджный пос. НП Романово-2,Рублёво-Успенское шоссе,15,Дом,300+ м²,17+ соток,404984.42367601243,300k+
Дом 140 м² на участке 20 сот.,6150000.0,140.0,20.0,5 июля 2023,СНТ Никажель,Симферопольское шоссе,52,Дом,120-150 м²,17+ соток,43928.57142857143,40k-50k
Дом 400 м² на участке 15 сот.,25000000.0,400.0,15.0,29 июля 2024,с. Внуково,Дмитровское шоссе,51,Дом,300+ м²,15-17 соток,62500.0,60k-70k
"Дом 71,8 м² на участке 18 сот.",5700000.0,71.8,18.0,30 мая 15:40,территория Новая Поповка,Рогачёвское шоссе,45,Дом,60-90 м²,17+ соток,79387.18662952646,70k-80k
Дом 120 м² на участке 20 сот.,6500000.0,120.0,20.0,3 недели назад,д. Косякино,Каширское шоссе,40,Дом,120-150 м²,17+ соток,54166.666666666664,50k-60k
"Дом 338 м² на участке 9,4 сот.",14500000.0,338.0,,21 ноября 2023,рп. Михнево,Новокаширское шоссе,55,Дом,300+ м²,,42899.408284023666,40k-50k
"Дом 725 м² на участке 18,5 сот.",525000000.0,725.0,,3 дня назад,"д. Раздоры, КП Раздоры-2",Рублёво-Успенское шоссе,5,Дом,300+ м²,,724137.9310344828,300k+
Дом 135 м² на участке 4 сот.,24450000.0,135.0,4.0,2 апреля 15:18,Апрелевка,Киевское шоссе,24,Дом,120-150 м²,3-6 соток,181111.11111111112,150k-200k
"Дом 146,6 м² на участке 10 сот.",7000000.0,146.6,10.0,7 августа 09:25,коттеджный пос. Захарьино-3,Минское шоссе,77,Дом,120-150 м²,9-12 соток,47748.97680763984,40k-50k
"Дом 60,4 м² на участке 6,3 сот.",5800000.0,60.4,,3 недели назад,"с. Жаворонки, СНТ Солнечная Поляна",Можайское шоссе,19,Дом,60-90 м²,,96026.49006622517,90k-100k
"Дом 55,5 м² на участке 6 сот.",3550000.0,55.5,6.0,16 мая 09:31,пос. Александровка,Киевское шоссе,50,Дом,0-60 м²,6-9 соток,63963.963963963964,60k-70k
Дом 55 м² на участке 8 сот.,4700000.0,55.0,8.0,3 августа 09:51,Белоозёрский,Егорьевское шоссе,41,Дом,0-60 м²,6-9 соток,85454.54545454546,80k-90k
Дача 60 м² на участке 6 сот.,2850000.0,60.0,6.0,3 июня 11:27,СНТ Спецстроевец,Егорьевское шоссе,69,Дача,60-90 м²,6-9 соток,47500.0,40k-50k
"Дом 117 м² на участке 6,5 сот.",8000000.0,117.0,,6 июня 17:12,"д. Шишкино, КП Дачная практика-2",Новокаширское шоссе,36,Дом,90-120 м²,,68376.06837606838,60k-70k
Дача 24 м² на участке 9 сот.,2200000.0,24.0,9.0,1 августа 2024,садовое товарищество Торгоша,Ярославское шоссе,58,Дача,0-60 м²,9-12 соток,91666.66666666667,90k-100k
Дом 1015 м² на участке 20 сот.,80000000.0,1015.0,20.0,26 мая 12:13,д. Борзые,Волоколамское шоссе,21,Дом,300+ м²,17+ соток,78817.73399014778,70k-80k
"Дом 289,2 м² на участке 15 сот.",9900000.0,289.2,15.0,19 апреля 13:18,Краснозаводск,Ярославское шоссе,68,Дом,240-300 м²,15-17 соток,34232.365145228214,30k-40k
Дача 115 м² на участке 20 сот.,6150000.0,115.0,20.0,8 мая 2024,садовое товарищество Медик,Горьковское шоссе,58,Дача,90-120 м²,17+ соток,53478.260869565216,50k-60k
Дом 350 м² на участке 25 сот.,55000000.0,350.0,25.0,12 июня 2024,коттеджный пос. Лапландия,Дмитровское шоссе,34,Дом,300+ м²,17+ соток,157142.85714285713,150k-200k
Коттедж 110 м² на участке 10 сот.,5700000.0,110.0,10.0,8 февраля 23:31,"д. Шишкино (Растуновский административный округ), коттеджный пос. Шишкино",Новокаширское шоссе,34,Коттедж,90-120 м²,9-12 соток,51818.181818181816,50k-60k
Дача 56 м² на участке 12 сот.,2290000.0,56.0,12.0,3 июля 19:10,территория СНТ Монтажник-2,Рогачёвское шоссе,49,Дача,0-60 м²,12-15 соток,40892.857142857145,40k-50k
"Дом 120 м² на участке 9,1 сот.",13300000.0,120.0,,21 марта 21:09,коттеджный пос. Новая Европа,Рязанское шоссе,26,Дом,120-150 м²,,110833.33333333333,100k-150k
"Дом 108 м² на участке 6,5 сот.",5500000.0,108.0,,30 июня 17:05,"Домодедово, КП Фишер",Новокаширское шоссе,38,Дом,90-120 м²,,50925.92592592593,50k-60k
Дом 320 м² на участке 16 сот.,79000000.0,320.0,16.0,1 неделю назад,коттеджный пос. Европа-2,Ильинское шоссе,17,Дом,300+ м²,15-17 соток,246875.0,200k-250k
Дом 95 м² на участке 14 сот.,10500000.0,95.0,14.0,7 июня 2023,Домодедово,Новокаширское шоссе,21,Дом,90-120 м²,12-15 соток,110526.31578947368,100k-150k
"Дом 81 м² на участке 7,5 сот.",5465000.0,81.0,,6 ноября 2024,дачное некоммерческое партнёрство Можайское Раздолье,Минское шоссе,79,Дом,60-90 м²,,67469.13580246913,60k-70k
Дом 155 м² на участке 4 сот.,13245000.0,155.0,4.0,4 декабря 2024,д. Ботаково,Калужское шоссе,18,Дом,150-180 м²,3-6 соток,85451.6129032258,80k-90k
Дом 1800 м² на участке 99 сот.,750000000.0,1800.0,99.0,10 марта 14:21,"с. Николо-Урюпино, коттеджный пос. Новахово",Волоколамское шоссе,11,Дом,300+ м²,17+ соток,416666.6666666667,300k+
"Дом 75,2 м² на участке 11 сот.",6200000.0,75.2,11.0,6 августа 22:27,д. Леньково,Минское шоссе,77,Дом,60-90 м²,9-12 соток,82446.8085106383,80k-90k
Дом 105 м² на участке 6 сот.,12900000.0,105.0,6.0,Вчера,с. Новое,Рязанское шоссе,25,Дом,90-120 м²,6-9 соток,122857.14285714286,100k-150k
Дом 85 м² на участке 4 сот.,4345000.0,85.0,4.0,4 июля 2023,д. Елагино,Киевское шоссе,57,Дом,60-90 м²,3-6 соток,51117.64705882353,50k-60k
Дача 31 м² на участке 6 сот.,980000.0,31.0,6.0,2 июня 18:14,садовое товарищество Красная Звезда,Дмитровское шоссе,81,Дача,0-60 м²,6-9 соток,31612.90322580645,30k-40k
Дом 154 м² на участке 7 сот.,10999000.0,154.0,7.0,1 неделю назад,д. Еремеево,Пятницкое шоссе,27,Дом,150-180 м²,6-9 соток,71422.07792207792,70k-80k
Дом 1000 м² на участке 24 сот.,299000000.0,1000.0,24.0,8 августа 2024,"д. Благовещенка, СНТ ТСЖ ВСК Благовещенка",Пятницкое шоссе,14,Дом,300+ м²,17+ соток,299000.0,250k-300k
Дом 1284 м² на участке 26 сот.,520000000.0,1284.0,26.0,9 апреля 09:10,коттеджный пос. НП Романово-2,Рублёво-Успенское шоссе,15,Дом,300+ м²,17+ соток,404984.42367601243,300k+
Дом 140 м² на участке 20 сот.,6150000.0,140.0,20.0,5 июля 2023,СНТ Никажель,Симферопольское шоссе,52,Дом,120-150 м²,17+ соток,43928.57142857143,40k-50k
Дом 400 м² на участке 15 сот.,25000000.0,400.0,15.0,29 июля 2024,с. Внуково,Дмитровское шоссе,51,Дом,300+ м²,15-17 соток,62500.0,60k-70k
"Дом 71,8 м² на участке 18 сот.",5700000.0,71.8,18.0,30 мая 15:40,территория Новая Поповка,Рогачёвское шоссе,45,Дом,60-90 м²,17+ соток,79387.18662952646,70k-80k
Дом 120 м² на участке 20 сот.,6500000.0,120.0,20.0,3 недели назад,д. Косякино,Каширское шоссе,40,Дом,120-150 м²,17+ соток,54166.666666666664,50k-60k
"Дом 338 м² на участке 9,4 сот.",14500000.0,338.0,,21 ноября 2023,рп. Михнево,Новокаширское шоссе,55,Дом,300+ м²,,42899.408284023666,40k-50k
"Дом 725 м² на участке 18,5 сот.",525000000.0,725.0,,3 дня назад,"д. Раздоры, КП Раздоры-2",Рублёво-Успенское шоссе,5,Дом,300+ м²,,724137.9310344828,300k+
Дом 135 м² на участке 4 сот.,24450000.0,135.0,4.0,2 апреля 15:18,Апрелевка,Киевское шоссе,24,Дом,120-150 м²,3-6 соток,181111.11111111112,150k-200k
"Дом 130 м² на участке 7,5 сот.",9600000.0,130.0,,27 сентября 2023,Домодедово,Новокаширское шоссе,19,Дом,120-150 м²,,73846.15384615384,70k-80k
"Дом 146,6 м² на участке 10 сот.",7000000.0,146.6,10.0,7 августа 09:25,коттеджный пос. Захарьино-3,Минское шоссе,77,Дом,120-150 м²,9-12 соток,47748.97680763984,40k-50k
"Дом 60,4 м² на участке 6,3 сот.",5800000.0,60.4,,3 недели назад,"с. Жаворонки, СНТ Солнечная Поляна",Можайское шоссе,19,Дом,60-90 м²,,96026.49006622517,90k-100k
"Дом 55,5 м² на участке 6 сот.",3550000.0,55.5,6.0,16 мая 09:31,пос. Александровка,Киевское шоссе,50,Дом,0-60 м²,6-9 соток,63963.963963963964,60k-70k
Дом 55 м² на участке 8 сот.,4700000.0,55.0,8.0,3 августа 09:51,Белоозёрский,Егорьевское шоссе,41,Дом,0-60 м²,6-9 соток,85454.54545454546,80k-90k
Дача 60 м² на участке 6 сот.,2850000.0,60.0,6.0,3 июня 11:27,СНТ Спецстроевец,Егорьевское шоссе,69,Дача,60-90 м²,6-9 соток,47500.0,40k-50k
Дом 49 м² на участке 12 сот.,2080000.0,49.0,12.0,30 июля 16:06,д. Большое Гридино,Егорьевское шоссе,103,Дом,0-60 м²,12-15 соток,42448.97959183674,40k-50k
"Дом 84,4 м² на участке 9 сот.",4900000.0,84.4,9.0,7 ноября 2024,садоводческое некоммерческое товарищество Энергия-3,Можайское шоссе,45,Дом,60-90 м²,9-12 соток,58056.87203791469,50k-60k
Коттедж 1445 м² на участке 31 сот.,938399999.0,1445.0,31.0,20 февраля 20:07,коттеджный пос. Миллениум Парк,Минское шоссе,22,Коттедж,300+ м²,17+ соток,649411.7640138408,300k+
"Дача 66,5 м² на участке 8 сот.",3200000.0,66.5,8.0,23 апреля 2024,СНТ Горелый Лес,Носовихинское шоссе,33,Дача,60-90 м²,6-9 соток,48120.3007518797,40k-50k
"Дом 130 м² на участке 5,5 сот.",11000000.0,130.0,,3 июня 18:45,"д. Никулино, коттеджный пос. Никулино",Варшавское шоссе,28,Дом,120-150 м²,,84615.38461538461,80k-90k
"Дом 160 м² на участке 10,8 сот.",8499000.0,160.0,,5 мая 11:46,пгт. Фосфоритный,Новорязанское шоссе,75,Дом,150-180 м²,,53118.75,50k-60k
"Таунхаус 181,3 м² на участке 3,5 сот.",23500000.0,181.3,,8 августа 16:36,КП Загорянка парк,Щёлковское шоссе,11,Таунхаус,180-210 м²,,129619.41533370104,100k-150k
"Дом 80 м² на участке 6,1 сот.",3950000.0,80.0,,3 марта 18:32,садовое некоммерческое товарищество Алёшинские сады,Носовихинское шоссе,33,Дом,60-90 м²,,49375.0,40k-50k
Дача 25 м² на участке 6 сот.,1650000.0,25.0,6.0,7 июля 12:55,садовое некоммерческое товарищество Алёшинские сады,Носовихинское шоссе,33,Дача,0-60 м²,6-9 соток,66000.0,60k-70k
Дом 128 м² на участке 7 сот.,3500000.0,128.0,7.0,6 декабря 2024,с. Коробчеево,Новорязанское шоссе,92,Дом,120-150 м²,6-9 соток,27343.75,20k-30k
"Дом 170 м² на участке 2,5 сот.",7900000.0,170.0,,31 мая 13:15,д. Редькино,Новокаширское шоссе,21,Дом,150-180 м²,,46470.58823529412,40k-50k
Дом 115 м² на участке 5 сот.,5145000.0,115.0,5.0,18 августа 2023,с. Шарапово,Симферопольское шоссе,49,Дом,90-120 м²,3-6 соток,44739.13043478261,40k-50k
Дом 211 м² на участке 13 сот.,18500000.0,211.0,13.0,7 июля 08:33,д. Постниково,Боровское шоссе,14,Дом,210-240 м²,12-15 соток,87677.72511848342,80k-90k
Дом 95 м² на участке 5 сот.,3745000.0,95.0,5.0,27 июля 10:01,д. Новгородово,Симферопольское шоссе,49,Дом,90-120 м²,3-6 соток,39421.05263157895,30k-40k
Дом 120 м² на участке 6 сот.,9300000.0,120.0,6.0,3 дня назад,КП Новое Жальское,Симферопольское шоссе,54,Дом,120-150 м²,6-9 соток,77500.0,70k-80k
Дом 1800 м² на участке 99 сот.,750000000.0,1800.0,99.0,10 марта 14:21,"с. Николо-Урюпино, коттеджный пос. Новахово",Волоколамское шоссе,11,Дом,300+ м²,17+ соток,416666.6666666667,300k+
"Дом 75,2 м² на участке 11 сот.",6200000.0,75.2,11.0,6 августа 22:27,д. Леньково,Минское шоссе,77,Дом,60-90 м²,9-12 соток,82446.8085106383,80k-90k
Дом 105 м² на участке 6 сот.,12900000.0,105.0,6.0,Вчера,с. Новое,Рязанское шоссе,25,Дом,90-120 м²,6-9 соток,122857.14285714286,100k-150k
Дом 85 м² на участке 4 сот.,4345000.0,85.0,4.0,4 июля 2023,д. Елагино,Киевское шоссе,57,Дом,60-90 м²,3-6 соток,51117.64705882353,50k-60k
Дача 31 м² на участке 6 сот.,980000.0,31.0,6.0,2 июня 18:14,садовое товарищество Красная Звезда,Дмитровское шоссе,81,Дача,0-60 м²,6-9 соток,31612.90322580645,30k-40k
Дом 154 м² на участке 7 сот.,10999000.0,154.0,7.0,1 неделю назад,д. Еремеево,Пятницкое шоссе,27,Дом,150-180 м²,6-9 соток,71422.07792207792,70k-80k
Дом 1000 м² на участке 24 сот.,299000000.0,1000.0,24.0,8 августа 2024,"д. Благовещенка, СНТ ТСЖ ВСК Благовещенка",Пятницкое шоссе,14,Дом,300+ м²,17+ соток,299000.0,250k-300k
